iso,Bloc,Eastern,Western,Neutral,Trade,Output,Welfare,Trade_prod,Output_prod,Welfare_prod
ARG,Western,-14.646033887428985,-0.28620379014962793,0.42087682460396536,-2.853635557241631,-0.15564796884935106,-0.28101533987283744,-1.6139546792365138,-0.15658418798474827,-0.28270457270586746
AUS,Western,-39.12729772286353,-0.1801740647997292,0.11054267703363507,-14.778037485864374,-0.8249414398702015,-1.4853690273807274,-13.047821921131103,-1.6124749882944656,-2.894115546790829
AUT,Western,-36.36497829966475,0.52193542659397,1.585802455670219,-1.6584594644892832,-0.24830284438591832,-0.4481318443981763,-1.5704383223448275,-0.4738131018681315,-0.8543492425446004
BEL,Western,-31.73394407170413,0.7552001843822325,0.4094111878293205,-1.0525446566493883,-0.4968574252876863,-0.8958178073951188,-0.7472928709116502,-0.31649250890801284,-0.5710418448693986
BGR,Western,-24.9008741281459,1.1209854469398408,0.7286559761634948,-1.8455727933185813,-0.49030675801425616,-0.8840305829182995,-2.9938239929004027,-1.072595234034651,-1.9293505459025226
BRA,Neutral,3.119590362367049,0.6569548553481894,0.2774117168837904,1.3944398045355655,0.0324785766823652,0.058683116173384064,2.046722356064592,0.045686831378375814,0.08255252217573172
BRN,Neutral,1.3573870634188978,-2.2173728972864097,0.06590436379472919,-0.860473232137295,-0.1725008558863692,-0.31142127662670305,-0.5214844130909029,-0.18822197330781876,-0.3397815451273942
CAN,Western,-10.162512214385046,1.1728106422544897,1.0272498699580979,-0.015244627242921638,-0.09137643531190065,-0.1650188006386628,0.8119310893300451,-0.16098648626827128,-0.29064752768488233
CHE,Western,-33.75656975373737,0.9764096756851615,0.6837340067247055,-2.9490735724787527,-0.5069907421771802,-0.914050393346244,-1.6285948249716284,-0.3865617345416865,-0.6972690760497073
CHL,Western,-40.669551535344105,0.03739821487849326,-0.6455153330028907,-13.347691003457427,-1.1143999912965654,-2.0042077180106475,-10.40088601938156,-1.5412021983967037,-2.766995096034748
CHN,Eastern,4.818753525966727,-25.44301701873735,1.3269592885286698,-14.83480706393955,-0.8455990801445381,-1.5224372526106862,-17.21306600429419,-0.530706011813038,-0.9567147422882698
COL,Western,-21.362499296336864,0.8251190732413107,0.5696273665601126,-3.6468344180022,-0.2104069561738129,-0.37979623967545706,-2.9185460634756026,-0.2998525061834272,-0.5410549494555568
CRI,Western,-29.8663141025865,0.9205832949343176,0.5308130949553913,-3.1652225191026275,-0.33006478919458004,-0.595497418145726,-1.4214399640720217,-0.4215244989990907,-0.7602264846826898
CZE,Western,-24.320241432673512,0.9246552777651544,1.0826578561013207,-1.3260059008623983,-0.6433679546449866,-1.159284261764057,-1.1759633064629753,-0.4497394549766369,-0.8110201245266637
DEU,Western,-40.888865873124644,0.7609314375684164,1.3695401657426487,-3.4238076420879224,-0.4504357231096918,-0.812273426185186,-3.7163435990046736,-0.669610496462937,-1.20644254121423
DNK,Western,-29.885366059342374,0.6427744653954051,0.9122991869254093,-1.7582492781749721,-0.19691018130581028,-0.35545317997113557,-1.2721560157401228,-0.40138015591398357,-0.7239547664856616
ESP,Western,-30.02655568234036,0.5085166522449072,0.0051955535676029285,-1.9475252645001717,-0.18081741132043305,-0.3264244595940937,-1.50965872645736,-0.3024425671463149,-0.5457227552816306
EST,Western,-23.74525439122803,1.2322658877387909,0.5573904561454412,-1.46117384413337,-0.4527221950037017,-0.8163890883182603,-1.5489891681629189,-0.6493433909551527,-1.170023102609747
