Bloc,Western,Eastern,Neutral
Western,2.5011443250456296,-57.46573747658403,3.110135224998288
Eastern,-42.825147877108066,12.028466497601755,-25.241143681796615
Neutral,1.8544054030444528,-24.190800608785537,3.18930810747635
