iso,Bloc,Eastern,Western,Neutral,Trade,Output,Welfare
AGO,Neutral,3.727160362365481,1.0875615332780768,-0.7462481036491937,2.0295454473488377,0.15219975066310099,0.27513111399754564
ALB,Western,-20.212167272638453,1.0110993869984952,0.5930307452596537,-1.1416404050783058,-0.14919965108157385,-0.2693802059757644
ARE,Neutral,0.30398159594123797,0.17732883847453706,0.31251513945655063,0.25695304505828176,-0.013654128277181599,-0.024666035982264134
ARG,Western,-14.646033887428985,-0.28620379014962793,0.42087682460396536,-2.853635557241631,-0.15564796884935106,-0.28101533987283744
ARM,Neutral,1.4561540291580428,0.6540631634297966,0.07899084487615937,0.9870539706800798,0.08065881936518338,0.14576471275648828
ATG,Western,-18.21045469395908,0.8657953414417818,0.34363958380363613,-0.2983091269913558,-0.0858219819073156,-0.15499135934939545
AUS,Western,-39.12729772286353,-0.1801740647997292,0.11054267703363507,-14.778037485864374,-0.8249414398702015,-1.4853690273807274
AUT,Western,-36.36497829966475,0.52193542659397,1.585802455670219,-1.6584594644892832,-0.24830284438591832,-0.4481318443981763
AZE,Neutral,1.3516796176252797,0.09949675954950976,0.022942767597484703,0.35244786783520965,0.033002609408910644,0.059630077795631564
BDI,Eastern,6.505983553078181,-34.95422383138843,6.823706131752033,-3.205308755012581,-0.28702257799231745,-0.517931420735593
BEL,Western,-31.73394407170413,0.7552001843822325,0.4094111878293205,-1.0525446566493883,-0.4968574252876863,-0.8958178073951188
BEN,Neutral,1.7238448091582796,1.4181561496944113,0.3051497912159533,0.8099204171767411,0.018292531827341918,0.033049519886390044
BFA,Neutral,2.9788685709501266,-0.2880850307839893,0.24497494542569598,0.04297737486892572,-0.0008059138379508113,-0.0014559501291842025
BGD,Neutral,-1.7417695022410697,0.2663018207525454,0.09231130869534354,-0.16877688940606106,-0.02715532226658013,-0.04905312653359317
BGR,Western,-24.9008741281459,1.1209854469398408,0.7286559761634948,-1.8455727933185813,-0.49030675801425616,-0.8840305829182995
BHR,Neutral,-1.3536884474232238,1.3994079562536967,0.3483346564037362,0.657094447890799,0.07182480388027557,0.12979546623866156
BHS,Western,-8.196178906432849,0.6856114586470881,1.0080281183046367,0.4330909818760631,-0.025244764299372946,-0.04560226346352181
BIH,Western,-17.861710883934506,0.7773594965423456,0.2589484418282382,-0.7943728453653591,-0.1746085883448103,-0.3152237510042539
BLR,Eastern,3.4348572210997332,-31.89707506085594,2.0496758308339196,-8.350628538048198,-1.8069843939752133,-3.2406600153634173
BLZ,Neutral,0.06590207235058188,0.15626861739345088,0.4401930985914788,0.18770936568967045,-0.04809728932963253,-0.08687516581962029
BOL,Eastern,-3.4925033877084957,-39.77675124146134,1.8563653394998596,-22.221361580902084,-1.7076049250472067,-3.063671337067248
BRA,Neutral,3.119590362367049,0.6569548553481894,0.2774117168837904,1.3944398045355655,0.0324785766823652,0.058683116173384064
BRB,Neutral,-0.4250293000964831,0.8433934969868915,0.2796266629297719,0.6697867136947622,0.009360279241718672,0.01691081338461231
BRN,Neutral,1.3573870634188978,-2.2173728972864097,0.06590436379472919,-0.860473232137295,-0.1725008558863692,-0.31142127662670305
BTN,Neutral,-2.3049416804459923,2.0528600941681248,0.26515905513261373,0.2915986806123243,-0.007426109543160919,-0.01341552405186519
BWA,Neutral,3.844190928267679,0.3258394245276861,0.19169382596174955,0.45638976320501,0.005734205387071256,0.01035959042529555
CAF,Eastern,12.940724387595935,-20.911468734318902,28.547785532919164,-2.4788336275534846,-0.36247483190651053,-0.6538854482405867
CAN,Western,-10.162512214385046,1.1728106422544897,1.0272498699580979,-0.015244627242921638,-0.09137643531190065,-0.1650188006386628
CHE,Western,-33.75656975373737,0.9764096756851615,0.6837340067247055,-2.9490735724787527,-0.5069907421771802,-0.914050393346244
CHL,Western,-40.669551535344105,0.03739821487849326,-0.6455153330028907,-13.347691003457427,-1.1143999912965654,-2.0042077180106475
CHN,Eastern,4.818753525966727,-25.44301701873735,1.3269592885286698,-14.83480706393955,-0.8455990801445381,-1.5224372526106862
CIV,Western,-13.452896754154793,0.6122673967172432,0.8068911700493686,-1.386137464026433,-0.14096297690952042,-0.2545173386934181
CMR,Neutral,3.0421212737044385,0.5861551151626827,0.39700044573058335,1.0824850356218434,0.027575530006544113,0.04982318203153113
COG,Eastern,3.0949089720778318,-31.862198696738943,0.012281794346961306,-5.130226922432357,-4.066981073896912,-7.226531570816391
COL,Western,-21.362499296336864,0.8251190732413107,0.5696273665601126,-3.6468344180022,-0.2104069561738129,-0.37979623967545706
CRI,Western,-29.8663141025865,0.9205832949343176,0.5308130949553913,-3.1652225191026275,-0.33006478919458004,-0.595497418145726
CZE,Western,-24.320241432673512,0.9246552777651544,1.0826578561013207,-1.3260059008623983,-0.6433679546449866,-1.159284261764057
DEU,Western,-40.888865873124644,0.7609314375684164,1.3695401657426487,-3.4238076420879224,-0.4504357231096918,-0.812273426185186
DMA,Western,-21.60378081559621,0.9276360926101717,0.35136824030008995,0.34688717548644377,-0.04259853531813462,-0.07694481248923069
DNK,Western,-29.885366059342374,0.6427744653954051,0.9122991869254093,-1.7582492781749721,-0.19691018130581028,-0.35545317997113557
DOM,Western,-22.4352938621262,1.5994285105637118,1.4014591604606466,-1.7522321261969722,-0.16930432284188157,-0.30565441783346614
DZA,Eastern,-2.0788320607010036,-32.060935365294114,1.1784889807654935,-19.89048999875706,-1.4141594653797398,-2.5402205930966915
ECU,Western,-30.133536130360554,0.39764874913839776,-0.5584488599052264,-6.128712097977285,-0.4696558349040316,-0.8468673609608857
EGY,Neutral,-0.5802293890298529,1.0696199369538988,0.1056961881732974,0.4896466565268156,0.010393186463161896,0.018777000591384763
ESP,Western,-30.02655568234036,0.5085166522449072,0.0051955535676029285,-1.9475252645001717,-0.18081741132043305,-0.3264244595940937
EST,Western,-23.74525439122803,1.2322658877387909,0.5573904561454412,-1.46117384413337,-0.4527221950037017,-0.8163890883182603
ETH,Eastern,10.410135775949044,-25.160960462333946,12.740372427506571,-2.5438320591335355,-0.17618350982293407,-0.318064960497523
FIN,Western,-38.09795253910414,0.8143423220521555,1.9425461161576436,-4.7361209017747825,-0.5026208839571353,-0.9061880166730987
FJI,Western,-22.464106070375777,3.5702536816118595,-1.1159742732356506,-0.5937985089627205,-0.07486413042946083,-0.13520785807963875
FRA,Western,-33.509908493032924,0.443816211193905,0.5552319274767967,-2.590590655822453,-0.20376849807657038,-0.36782331247422917
GAB,Eastern,-0.526859961870187,-27.08537070891795,0.4446908406663397,-9.222408530893873,-1.5555450368479882,-2.792582608549864
GBR,Western,-29.136208858107963,0.759073495866275,0.3199660822047292,-2.8341783785689216,-0.20315097397249815,-0.3667095315568929
GEO,Western,-26.892730896330363,2.357216659193014,1.8046471214462088,-4.736382701558625,-0.5819582985975131,-1.0488908337070626
GHA,Neutral,2.515572522284586,0.1814251526335937,0.22199055357199882,0.661698569582299,0.015493094182289724,0.027991398279553437
